ASFIS_species,scientific_name,pooled_commodity,ISSCAAP_group,ISSCAAP_division,exvessel_estimated
Dark ghost shark,Hydrolagus novaezealandiae,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
"Elephantfishes, etc. nei",Callorhinchidae,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Ghost shark,Callorhinchus milii,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Plownose chimaera,Callorhinchus callorynchus,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Rabbit fish,Chimaera monstrosa,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Ratfishes nei,Hydrolagus spp,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
"Sharks, rays, skates, etc. nei",Elasmobranchii,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Silver chimaera,Chimaera phantasma,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Spotted ratfish,Hydrolagus colliei,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Straightnose rabbitfish,Rhinochimaera atlantica,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Torpedo rays,Torpedo spp,"Sharks, rays, skates, chimaeras","Sharks, rays, chimaeras",MARINE FISHES,1
Antarctic starry skate,Raja georgiana,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Arctic skate,Raja hyperborea,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Bathyraja rays nei,Bathyraja spp,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Bignose fanskate,Sympterygia acuta,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Blackchin guitarfish,Rhinobatos cemiculus,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Blonde ray,Raja brachyura,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Blue skate,Raja batis,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Broadnose skate,Bathyraja brachyurops,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Brown ray,Raja miraletus,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
California butterfly ray,Gymnura marmorata,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Chola guitarfish,Rhinobatos percellens,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Common eagle ray,Myliobatis aquila,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Common guitarfish,Rhinobatos rhinobatos,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Common stingray,Dasyatis pastinaca,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Cownose ray,Rhinoptera bonasus,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Cuckoo ray,Raja naevus,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Dark-belly skate,Bathyraja meridionalis,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Devil fish,Mobula mobular,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Eagle rays nei,Myliobatidae,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Eaton's skate,Bathyraja eatonii,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Eyespot skate,Raja cyclophora,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Freshwater river stingray nei,Potamotrygon spp,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Giant guitarfish,Rhynchobatus djiddensis,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Giant manta,Manta birostris,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
"Guitarfishes, etc. nei",Rhinobatidae,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Kerguelen sandpaper skate,Bathyraja irrasa,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Little skate,Raja erinacea,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Longnosed skate,Raja oxyrinchus,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Longtail stingray,Dasyatis longa,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Lusitanian cownose ray,Rhinoptera marginata,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Madeiran ray,Raja maderensis,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
"Mantas, devil rays nei",Mobulidae,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
McCain's skate,Bathyraja maccaini,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Mediterranean starry ray,Raja asterias,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Murray's skate,Bathyraja murrayi,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
New Zealand rough skate,Zearaja nasuta,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
New Zealand smooth skate,Dipturus innominatus,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Norwegian skate,Raja nidarosiensis,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Pacific guitarfish,Rhinobatos planiceps,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Patagonian skate,Bathyraja macloviana,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Pelagic stingray,Dasyatis violacea,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Raja rays nei,Raja spp,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Rays and skates nei,Rajidae,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
"Rays, stingrays, mantas nei",Rajiformes,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Rio skate,Rioraja agassizi,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Round ray,Raja fyllae,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Sailray,Raja lintea,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Sandy ray,Raja circularis,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Sawfishes,Pristidae,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Shagreen ray,Raja fullonica,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Sharpnose stingray,Himantura gerrardi,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Small-eyed ray,Raja microocellata,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Smallnose fanskate,Sympterygia bonapartii,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Southern stingray,Dasyatis americana,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Spiny butterfly ray,Gymnura altavela,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Spotback skate,Raja castelnaui,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Spotted ray,Raja montagui,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Starry ray,Raja radiata,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Stingrays nei,Dasyatis spp,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
"Stingrays, butterfly rays nei",Dasyatidae,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Thornback ray,Raja clavata,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Undulate ray,Raja undulata,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Whip stingray,Dasyatis akajei,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
White skate,Raja alba,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Whiteleg skate,Raja taaf,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Whitespotted wedgefish,Rhynchobatus australiae,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Yellownose skate,Zearaja chilensis,Skates,"Sharks, rays, chimaeras",MARINE FISHES,1
Albacore,Thunnus alalunga,Albacore (=Longfin tuna),"Tunas, bonitos, billfishes",MARINE FISHES,1
Atlantic bluefin tuna,Thunnus thynnus,Atlantic(Thunnus thynnus) and Pacific(Thunnus orientalis)bluefin tuna,"Tunas, bonitos, billfishes",MARINE FISHES,1
Pacific bluefin tuna,Thunnus orientalis,Atlantic(Thunnus thynnus) and Pacific(Thunnus orientalis)bluefin tuna,"Tunas, bonitos, billfishes",MARINE FISHES,1
Bigeye tuna,Thunnus obesus,Bigeye tuna,"Tunas, bonitos, billfishes",MARINE FISHES,1
Atlantic bonito,Sarda sarda,Bonito,"Tunas, bonitos, billfishes",MARINE FISHES,1
Australian bonito,Sarda australis,Bonito,"Tunas, bonitos, billfishes",MARINE FISHES,1
Eastern Pacific bonito,Sarda chiliensis,Bonito,"Tunas, bonitos, billfishes",MARINE FISHES,1
Striped bonito,Sarda orientalis,Bonito,"Tunas, bonitos, billfishes",MARINE FISHES,1
Black skipjack,Euthynnus lineatus,Euthynnus excl. skipjack or stripe-bellied bonitos,"Tunas, bonitos, billfishes",MARINE FISHES,1
Kawakawa,Euthynnus affinis,Euthynnus excl. skipjack or stripe-bellied bonitos,"Tunas, bonitos, billfishes",MARINE FISHES,1
Little tunny(=Atl.black skipj),Euthynnus alletteratus,Euthynnus excl. skipjack or stripe-bellied bonitos,"Tunas, bonitos, billfishes",MARINE FISHES,1
Atlantic sailfish,Istiophorus albicans,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Atlantic white marlin,Tetrapturus albidus,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Black marlin,Makaira indica,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Blue marlin,Makaira nigricans,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Indo-Pacific sailfish,Istiophorus platypterus,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Longbill spearfish,Tetrapturus pfluegeri,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
"Marlins,sailfishes,etc. nei",Istiophoridae,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Mediterranean spearfish,Tetrapturus belone,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Roundscale spearfish,Tetrapturus georgii,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Shortbill spearfish,Tetrapturus angustirostris,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Striped marlin,Tetrapturus audax,Marlins,"Tunas, bonitos, billfishes",MARINE FISHES,1
Plain bonito,Orcynopsis unicolor,Plain bonito,"Tunas, bonitos, billfishes",MARINE FISHES,1
Skipjack tuna,Katsuwonus pelamis,Skipjack tuna,"Tunas, bonitos, billfishes",MARINE FISHES,1
Southern bluefin tuna,Thunnus maccoyii,Southern bluefin tuna(Thunnus maccoyii),"Tunas, bonitos, billfishes",MARINE FISHES,1
Atlantic Spanish mackerel,Scomberomorus maculatus,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Broad-barred king mackerel,Scomberomorus semifasciatus,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Cero,Scomberomorus regalis,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Indo-Pacific king mackerel,Scomberomorus guttatus,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Japanese Spanish mackerel,Scomberomorus niphonius,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
King mackerel,Scomberomorus cavalla,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Narrow-barred Spanish mackerel,Scomberomorus commerson,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Pacific sierra,Scomberomorus sierra,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Seerfishes nei,Scomberomorus spp,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Serra Spanish mackerel,Scomberomorus brasiliensis,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Streaked seerfish,Scomberomorus lineolatus,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
West African Spanish mackerel,Scomberomorus tritor,Spanish mackerel,"Tunas, bonitos, billfishes",MARINE FISHES,1
Swordfish,Xiphias gladius,Swordfish,"Tunas, bonitos, billfishes",MARINE FISHES,1
Blackfin tuna,Thunnus atlanticus,Tunas,"Tunas, bonitos, billfishes",MARINE FISHES,1
Bullet tuna,Auxis rochei,Tunas,"Tunas, bonitos, billfishes",MARINE FISHES,1
Dogtooth tuna,Gymnosarda unicolor,Tunas,"Tunas, bonitos, billfishes",MARINE FISHES,1
Frigate and bullet tunas,"Auxis thazard, A. rochei",Tunas,"Tunas, bonitos, billfishes",MARINE FISHES,1
Frigate tuna,Auxis thazard,Tunas,"Tunas, bonitos, billfishes",MARINE FISHES,1
Longtail tuna,Thunnus tonggol,Tunas,"Tunas, bonitos, billfishes",MARINE FISHES,1
Slender tuna,Allothunnus fallai,Tunas,"Tunas, bonitos, billfishes",MARINE FISHES,1
Butterfly kingfish,Gasterochisma melampus,"Tunas, bonitos, billfishes","Tunas, bonitos, billfishes",MARINE FISHES,1
Tuna-like fishes nei,Scombroidei,"Tunas, bonitos, billfishes","Tunas, bonitos, billfishes",MARINE FISHES,1
Wahoo,Acanthocybium solandri,"Tunas, bonitos, billfishes","Tunas, bonitos, billfishes",MARINE FISHES,1
Yellowfin tuna,Thunnus albacares,Yellowfin tuna,"Tunas, bonitos, billfishes",MARINE FISHES,1
Horseshoe crab,Limulus polyphemus,Misc. aquatic invertebrates,Horseshoe crabs and other arachnoids,MISCELLANEOUS AQUATIC ANIMALS,1
Cannonball jellyfish,Stomolophus meleagris,Jellyfish,Miscellaneous aquatic invertebrates,MISCELLANEOUS AQUATIC ANIMALS,1
Jellyfishes nei,Rhopilema spp,Jellyfish,Miscellaneous aquatic invertebrates,MISCELLANEOUS AQUATIC ANIMALS,1
Aquatic invertebrates nei,Invertebrata,Misc. aquatic invertebrates,Miscellaneous aquatic invertebrates,MISCELLANEOUS AQUATIC ANIMALS,1
Marine worms,Polychaeta,Misc. aquatic invertebrates,Miscellaneous aquatic invertebrates,MISCELLANEOUS AQUATIC ANIMALS,1
Grooved sea squirt,Microcosmus sulcatus,Misc. aquatic invertebrates,Sea-squirts and other tunicates,MISCELLANEOUS AQUATIC ANIMALS,1
Red bait,Pyura stolonifera,Misc. aquatic invertebrates,Sea-squirts and other tunicates,MISCELLANEOUS AQUATIC ANIMALS,1
Red sea squirt,Pyura chilensis,Misc. aquatic invertebrates,Sea-squirts and other tunicates,MISCELLANEOUS AQUATIC ANIMALS,1
Salps,Salpidae,Misc. aquatic invertebrates,Sea-squirts and other tunicates,MISCELLANEOUS AQUATIC ANIMALS,1
Sea squirts nei,Ascidiacea,Misc. aquatic invertebrates,Sea-squirts and other tunicates,MISCELLANEOUS AQUATIC ANIMALS,1
Echinoderms,Echinodermata,Misc. aquatic invertebrates,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Red starfish,Asterias rubens,Misc. aquatic invertebrates,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Starfishes nei,Asteroidea,Misc. aquatic invertebrates,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Black teatfish,Holothuria nobilis,Sea-cucumber,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Japanese sea cucumber,Apostichopus japonicus,Sea-cucumber,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Prickly redfish,Thelenota ananas,Sea-cucumber,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Sandfish,Holothuria scabra,Sea-cucumber,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Sea cucumbers nei,Holothuroidea,Sea-cucumber,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
White teatfish,Holothuria fuscogilva,Sea-cucumber,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Chilean sea urchin,Loxechinus albus,Sea-urchin,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
European edible sea urchin,Echinus esculentus,Sea-urchin,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Sea urchins nei,Strongylocentrotus spp,Sea-urchin,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
"Sea urchins, etc. nei",Echinoidea,Sea-urchin,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Stony sea urchin,Paracentrotus lividus,Sea-urchin,Sea-urchins and other echinoderms,MISCELLANEOUS AQUATIC ANIMALS,1
Abalones nei,Haliotis spp,Abalones,"Abalones, winkles, conchs",MOLLUSCS,1
Blacklip abalone,Haliotis rubra,Abalones,"Abalones, winkles, conchs",MOLLUSCS,1
Giant abalone,Haliotis gigantea,Abalones,"Abalones, winkles, conchs",MOLLUSCS,1
Perlemoen abalone,Haliotis midae,Abalones,"Abalones, winkles, conchs",MOLLUSCS,1
Tuberculate abalone,Haliotis tuberculata,Abalones,"Abalones, winkles, conchs",MOLLUSCS,1
Stromboid conchs nei,Strombus spp,Stromboid conchs,"Abalones, winkles, conchs",MOLLUSCS,1
Commercial top,Trochus niloticus,Top shell,"Abalones, winkles, conchs",MOLLUSCS,1
Angulate volute,Zidona dufresnei,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Channeled whelk,Busycotypus canaliculatus,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Common periwinkle,Littorina littorea,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
False abalone,Concholepas concholepas,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Gastropods nei,Gastropoda,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Helmet ton,Tonna galea,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Horned turban,Turbo cornutus,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Knobbed whelk,Busycon carica,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Lightning whelk,Busycon sinistrum,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Murex,Murex spp,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Periwinkles nei,Littorina spp,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Pig's snout volute,Cymbium cymbium,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Sea snails,Rapana spp,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Spiral babylon,Babylonia spirata,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Volutes nei,Cymbium spp,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Whelk,Buccinum undatum,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Whelks,Busycon spp,Univalves,"Abalones, winkles, conchs",MOLLUSCS,1
Anadara clams nei,Anadara spp,Arkshells,"Clams, cockles, arkshells",MOLLUSCS,1
Ark clams nei,Arca spp,Arkshells,"Clams, cockles, arkshells",MOLLUSCS,1
Blood ark,Anadara ovalis,Arkshells,"Clams, cockles, arkshells",MOLLUSCS,1
Blood cockle,Anadara granosa,Arkshells,"Clams, cockles, arkshells",MOLLUSCS,1
Half-crenated ark,Scapharca subcrenata,Arkshells,"Clams, cockles, arkshells",MOLLUSCS,1
Noah's ark,Arca noae,Arkshells,"Clams, cockles, arkshells",MOLLUSCS,1
Turkey wing,Arca zebra,Arkshells,"Clams, cockles, arkshells",MOLLUSCS,1
American yellow cockle,Trachycardium muricatum,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Atl.jackknife(=Atl.razor clam),Ensis directus,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Atlantic surf clam,Spisula solidissima,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Banded carpet shell,Venerupis rhomboides,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Basket cockle,Clinocardium nuttallii,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Bean solen,Pharus legumen,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Butter clam,Saxidomus giganteus,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Carpet shells nei,Ruditapes spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Chilean semele,Semele solida,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
"Clams, etc. nei",Bivalvia,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Cockles nei,Cardiidae,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Common edible cockle,Cerastoderma edule,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Common European bittersweet,Glycymeris glycymeris,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Donax clams,Donax spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Gay's little venus,Tawera gayi,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Grooved carpet shell,Ruditapes decussatus,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Hard clams nei,Meretrix spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Imperial surf clam,Pseudocardium sybillae,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Japanese carpet shell,Ruditapes philippinarum,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Japanese hard clam,Meretrix lusoria,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Macha clam,Mesodesma donacium,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Northern quahog(=Hard clam),Mercenaria mercenaria,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Ocean quahog,Arctica islandica,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Pacific geoduck,Panopea generosa,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Pacific horse clams nei,Tresus spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Pacific littleneck clam,Protothaca staminea,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Pacific razor clam,Siliqua patula,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Pipi wedge clam,Paphies australis,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Pod razor shell,Ensis ensis,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Pullet carpet shell,Venerupis pullastra,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
"Razor clams, knife clams nei",Solenidae,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Rostrate pitar,Pitar rostratus,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Sand gaper,Mya arenaria,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Short neck clams nei,Paphia spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Smooth callista,Callista chione,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Solen razor clams nei,Solen spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Solid surf clam,Spisula solida,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Stimpson's surf clam,Spisula polynyma,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Striped venus,Chamelea gallina,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Stutchbury's venus,Chione stutchburyi,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Subtruncate surf clam,Spisula subtruncata,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Surf clams nei,Spisula spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Sword razor shell,Ensis siliqua,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Taca clam,Protothaca thaca,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Taquilla clams,Mulinia spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Tellins nei,Tellina spp,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Triangular tivela,Tivela mactroides,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Venus clams nei,Veneridae,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Warty venus,Venus verrucosa,"Clams, cockles, arkshells","Clams, cockles, arkshells",MOLLUSCS,1
Japanese corbicula,Corbicula japonica,"Clams, cockles, arkshells",Freshwater molluscs,MOLLUSCS,1
Freshwater molluscs nei,Mollusca,Molluscs and other aquatic invertebrates,Freshwater molluscs,MOLLUSCS,1
Marine molluscs nei,Mollusca,Molluscs,Miscellaneous marine molluscs,MOLLUSCS,1
Cholga mussel,Aulacomya ater,Mussels,Mussels,MOLLUSCS,1
Choro mussel,Choromytilus chorus,Mussels,Mussels,MOLLUSCS,1
Horse mussels nei,Modiolus spp,Mussels,Mussels,MOLLUSCS,1
Sea mussels nei,Mytilidae,Mussels,Mussels,MOLLUSCS,1
Australian mussel,Mytilus planulatus,Mussels of the genus Mytilus spp.,Mussels,MOLLUSCS,1
Blue mussel,Mytilus edulis,Mussels of the genus Mytilus spp.,Mussels,MOLLUSCS,1
Chilean mussel,Mytilus chilensis,Mussels of the genus Mytilus spp.,Mussels,MOLLUSCS,1
Korean mussel,Mytilus coruscus,Mussels of the genus Mytilus spp.,Mussels,MOLLUSCS,1
Mediterranean mussel,Mytilus galloprovincialis,Mussels of the genus Mytilus spp.,Mussels,MOLLUSCS,1
River Plata mussel,Mytilus platensis,Mussels of the genus Mytilus spp.,Mussels,MOLLUSCS,1
Green mussel,Perna viridis,Mussels of the genus Perna spp.,Mussels,MOLLUSCS,1
South American rock mussel,Perna perna,Mussels of the genus Perna spp.,Mussels,MOLLUSCS,1
European flat oyster,Ostrea edulis,Flat oyster,Oysters,MOLLUSCS,1
American cupped oyster,Crassostrea virginica,Oysters,Oysters,MOLLUSCS,1
Chilean flat oyster,Ostrea chilensis,Oysters,Oysters,MOLLUSCS,1
Cupped oysters nei,Crassostrea spp,Oysters,Oysters,MOLLUSCS,1
Mangrove cupped oyster,Crassostrea rhizophorae,Oysters,Oysters,MOLLUSCS,1
New Zealand dredge oyster,Ostrea lutaria,Oysters,Oysters,MOLLUSCS,1
Olympia oyster,Ostreola conchaphila,Oysters,Oysters,MOLLUSCS,1
Pacific cupped oyster,Crassostrea gigas,Oysters,Oysters,MOLLUSCS,1
Slipper cupped oyster,Crassostrea iredalei,Oysters,Oysters,MOLLUSCS,1
American sea scallop,Placopecten magellanicus,Scallops,"Scallops, pectens",MOLLUSCS,1
Atlantic bay scallop,Argopecten irradians,Scallops,"Scallops, pectens",MOLLUSCS,1
Calico scallop,Argopecten gibbus,Scallops,"Scallops, pectens",MOLLUSCS,1
Delicate scallop,Zygochlamys delicatula,Scallops,"Scallops, pectens",MOLLUSCS,1
Great Atlantic scallop,Pecten maximus,Scallops,"Scallops, pectens",MOLLUSCS,1
Great Mediterranean scallop,Pecten jacobaeus,Scallops,"Scallops, pectens",MOLLUSCS,1
Iceland scallop,Chlamys islandica,Scallops,"Scallops, pectens",MOLLUSCS,1
