ASFIS_species,scientific_name,pooled_commodity,ISSCAAP_group,ISSCAAP_division,exvessel_estimated
Marine crustaceans nei,Crustacea,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Red sea mantis shrimp,Erugosquilla massavensis,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Spottail mantis squillid,Squilla mantis,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Squillids nei,Squillidae,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Stomatopods nei,Stomatopoda,Crustaceans,Miscellaneous marine crustaceans,CRUSTACEANS,1
Common shrimp,Crangon crangon,Common (=Crangon) shrimp,"Shrimps, prawns",CRUSTACEANS,1
Crangonid shrimps nei,Crangonidae,Common (=Crangon) shrimp,"Shrimps, prawns",CRUSTACEANS,1
Sculptured shrimps nei,Sclerocrangon spp,Common (=Crangon) shrimp,"Shrimps, prawns",CRUSTACEANS,1
Deep-water rose shrimp,Parapenaeus longirostris,Deepwater rose shrimps (Parapenaeus longirostris),"Shrimps, prawns",CRUSTACEANS,1
Akiami paste shrimp,Acetes japonicus,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Argentine red shrimp,Pleoticus muelleri,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Argentine stiletto shrimp,Artemesia longinaris,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Aristeid shrimps nei,Aristeidae,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Aristeus shrimps nei,Aristeus spp,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Atlantic seabob,Xiphopenaeus kroyeri,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Blue and red shrimp,Aristeus antennatus,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Chilean knife shrimp,Haliporoides diomedeae,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Endeavour shrimp,Metapenaeus endeavouri,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Giant red shrimp,Aristaeomorpha foliacea,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Guinea shrimp,Parapenaeopsis atlantica,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Jack-knife shrimp,Haliporoides sibogae,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Knife shrimp,Haliporoides triarthrus,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Kolibri shrimp,Solenocera agassizii,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Metapenaeus shrimps nei,Metapenaeus spp,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Natantian decapods nei,Natantia,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Pacific rock shrimp,Sicyonia ingentis,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Pacific seabob,Xiphopenaeus riveti,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Pacific seabobs,"Xiphopenaeus, Trachypenaeus spp",Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Parapenaeopsis shrimps nei,Parapenaeopsis spp,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Rock shrimp,Sicyonia brevirostris,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Royal red shrimp,Pleoticus robustus,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Scarlet shrimp,Plesiopenaeus edwardsianus,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Sergestid shrimps nei,Sergestidae,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Shiba shrimp,Metapenaeus joyneri,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Southern rough shrimp,Trachypenaeus curvirostris,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Speckled shrimp,Metapenaeus monoceros,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Striped red shrimp,Aristeus varidens,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Titi shrimp,Protrachypene precipua,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Tsivakihini paste shrimp,Acetes erythraeus,Shrimps,"Shrimps, prawns",CRUSTACEANS,1
Baltic prawn,Palaemon adspersus,Shrimps and prawns,"Shrimps, prawns",CRUSTACEANS,1
Common prawn,Palaemon serratus,Shrimps and prawns,"Shrimps, prawns",CRUSTACEANS,1
Delta prawn,Palaemon longirostris,Shrimps and prawns,"Shrimps, prawns",CRUSTACEANS,1
Palaemonid shrimps nei,Palaemonidae,Shrimps and prawns,"Shrimps, prawns",CRUSTACEANS,1
West African estuarine prawn,Nematopalaemon hastatus,Shrimps and prawns,"Shrimps, prawns",CRUSTACEANS,1
Whitebelly prawn,Nematopalaemon schmitti,Shrimps and prawns,"Shrimps, prawns",CRUSTACEANS,1
Aesop shrimp,Pandalus montagui,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Chilean nylon shrimp,Heterocarpus reedi,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Coonstripe shrimp,Pandalus hypsinotus,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Golden shrimp,Plesionika martia,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Hokkai shrimp,Pandalus kessleri,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Humpy shrimp,Pandalus goniurus,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Morotoge shrimp,Pandalopsis japonica,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Northern nylon shrimp,Heterocarpus vicarius,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Northern prawn,Pandalus borealis,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Nylon shrimps nei,Heterocarpus spp,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Ocean shrimp,Pandalus jordani,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Pandalus shrimps nei,Pandalus spp,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Spot shrimp,Pandalus platyceros,Shrimps and prawns (Pandalidae spp.),"Shrimps, prawns",CRUSTACEANS,1
Banana prawn,Penaeus merguiensis,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Blue shrimp,Penaeus stylirostris,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Caramote prawn,Penaeus kerathurus,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Crystal shrimp,Penaeus brevirostris,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Fleshy prawn,Penaeus chinensis,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Giant tiger prawn,Penaeus monodon,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Green tiger prawn,Penaeus semisulcatus,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Indian white prawn,Penaeus indicus,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Kuruma prawn,Penaeus japonicus,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Northern brown shrimp,Penaeus aztecus,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Northern pink shrimp,Penaeus duorarum,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Northern white shrimp,Penaeus setiferus,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Penaeus shrimps nei,Penaeus spp,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Redspotted shrimp,Penaeus brasiliensis,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Redtail prawn,Penaeus penicillatus,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Sao Paulo shrimp,Penaeus paulensis,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Southern brown shrimp,Penaeus subtilis,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Southern pink shrimp,Penaeus notialis,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Southern white shrimp,Penaeus schmitti,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Western king prawn,Penaeus latisulcatus,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Western white shrimp,Penaeus occidentalis,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Whiteleg shrimp,Penaeus vannamei,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Yellowleg shrimp,Penaeus californiensis,Shrimps and prawns (Penaeus spp.),"Shrimps, prawns",CRUSTACEANS,1
Milkfish,Chanos chanos,Milkfish,Miscellaneous diadromous fishes,DIADROMOUS FISHES,1
Barramundi(=Giant seaperch),Lates calcarifer,Misc. diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES,1
Lampreys nei,Petromyzontidae,Misc. diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES,1
River lamprey,Lampetra fluviatilis,Misc. diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES,1
Sea lamprey,Petromyzon marinus,Misc. diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES,1
Striped bass,Morone saxatilis,Misc. diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES,1
Three-spined stickleback,Gasterosteus aculeatus,Misc. diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES,1
White perch,Morone americana,Misc. diadromous fishes,Miscellaneous diadromous fishes,DIADROMOUS FISHES,1
American eel,Anguilla rostrata,River eels,River eels,DIADROMOUS FISHES,1
European eel,Anguilla anguilla,River eels,River eels,DIADROMOUS FISHES,1
Japanese eel,Anguilla japonica,River eels,River eels,DIADROMOUS FISHES,1
River eels nei,Anguilla spp,River eels,River eels,DIADROMOUS FISHES,1
Short-finned eel,Anguilla australis,River eels,River eels,DIADROMOUS FISHES,1
Atlantic salmon,Salmo salar,Atlantic and Danube salmons,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Huchen,Hucho hucho,Atlantic and Danube salmons,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Chum(=Keta=Dog) salmon,Oncorhynchus keta,Chum salmon,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Coho(=Silver) salmon,Oncorhynchus kisutch,Coho salmon,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Chinook(=Spring=King) salmon,Oncorhynchus tshawytscha,Pacific salmon,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Masu(=Cherry) salmon,Oncorhynchus masou,Pacific salmon,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Pacific salmons nei,Oncorhynchus spp,Pacific salmon,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Pink(=Humpback) salmon,Oncorhynchus gorbuscha,Pink salmon,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Ayu sweetfish,Plecoglossus altivelis,Salmonoids,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Grayling,Thymallus thymallus,Salmonoids,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Japanese icefish,Salangichthys microdon,Salmonoids,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Salmonoids nei,Salmonoidei,Salmonoids,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Eulachon,Thaleichthys pacificus,Smelts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
European smelt,Osmerus eperlanus,Smelts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Japanese smelt,Hypomesus nipponensis,Smelts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Pond smelt,Hypomesus olidus,Smelts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Rainbow smelt,Osmerus mordax,Smelts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Smelts nei,"Osmerus spp, Hypomesus spp",Smelts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Surf smelt,Hypomesus pretiosus,Smelts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Sockeye(=Red) salmon,Oncorhynchus nerka,Sockeye salmon (red salmon)(Oncorhynchus nerka),"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Rainbow trout,Oncorhynchus mykiss,Trouts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Sea trout,Salmo trutta,Trouts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Trouts nei,Salmo spp,Trouts,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Arctic char,Salvelinus alpinus,Trouts and chars,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Brook trout,Salvelinus fontinalis,Trouts and chars,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Chars nei,Salvelinus spp,Trouts and chars,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Lake trout(=Char),Salvelinus namaycush,Trouts and chars,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
European whitefish,Coregonus lavaretus,Whitefishes,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Houting,Coregonus oxyrinchus,Whitefishes,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Lake cisco,Coregonus artedi,Whitefishes,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Lake(=Common) whitefish,Coregonus clupeaformis,Whitefishes,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Vendace,Coregonus albula,Whitefishes,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Whitefishes nei,Coregonus spp,Whitefishes,"Salmons, trouts, smelts",DIADROMOUS FISHES,1
Alewife,Alosa pseudoharengus,Alewife,Shads,DIADROMOUS FISHES,1
Atlantic sabretooth anchovy,Lycengraulis grossidens,Anchovies,Shads,DIADROMOUS FISHES,1
