FAO_commodity,assingment
"Alaska pollock fillets, frozen",low
"Alaska pollock meat, whether or not minced, frozen",low
"Alaska pollock roes, frozen",low
"Alaska pollock roes, pickled",unsure
"Alaska pollock, dried, unsalted",unsure
"Alaska Pollock, fresh or chilled",low
"Alaska pollock, frozen",low
"Alaska pollock, meat, whether or not minced, frozen",low
"Alaska pollock, not minced, prepared or preserved",unsure
"Alaska pollock, roes, frozen",low
"Alaska pollock, roes, pickled",unsure
"Argentine hake, fresh or chilled",low
"Argentinian hake fillets, fresh or chilled",low
"Argentinian hake fillets, frozen",low
"Argentinian hake, frozen",low
"Atlantic cod fillets in blocks, frozen",low
"Atlantic cod fillets, fresh or chilled",low
"Atlantic cod fillets, frozen",low
"Atlantic cod, fillets in blocks, frozen",low
"Atlantic cod, fillets, fresh or chilled",low
"Atlantic cod, fresh or chilled",low
"Atlantic cod, frozen",low
"Atlantic cod, meat, frozen",low
"Atlantic cod, salted or in brine",unsure
"Blue whiting (Micromesistius poutassou), fresh or chilled",low
"Blue whiting (Micromesistius poutassou), frozen",low
"Blue whiting fillets, frozen",low
Blue whiting meal,high
"Blue whiting meat, frozen",low
"Blue whiting, fresh or chilled",low
"Blue whiting, frozen",low
"Blue whitings (Micromesistius poutassou, Micromesistius australis), fresh or chilled",low
"Blue whitings (Micromesistius poutassou, Micromesistius australis), frozen",low
"Cape hake fillets, frozen",low
"Cape hake, fresh or chilled",low
"Cape hake, frozen",low
"Cod fillets in blocks, frozen, nei",low
Cod liver oil,high
"Cod nei fillets, dried, salted or in brine",unsure
"Cod nei, fillets, frozen",low
"Cod roe, prepared",unsure
"Cod roes, frozen",low
"Cod roes, salted or sugar salted",unsure
"Cod, dried, unsalted (stockfish)",unsure
"Cod, meat, frozen",low
"Cod, minced, frozen",high
"Cod, salted and dried (klipfish)",unsure
"Cods nei, dried whether or not salted",unsure
"Cods nei, dried,  whether or not salted",unsure
"Cods nei, dried, salted or in brine",unsure
"Cods nei, fillets, fresh or chilled",low
"Cods nei, frozen",low
"Cods nei, salted or in brine",unsure
"Cods, fresh or chilled, nei",low
"Cods, not minced, prepared or preserved",unsure
"Cods, smoked",high
"European hake fillets, fresh or chilled",low
"European hake fillets, frozen",low
"European hake, fresh or chilled",low
"European hake, frozen",low
